Event Name,Exact Place & City,Date and Time,Price
Startup Summit,"Anjuna Beach, Goa","Jan 29–30, 2025",Free
Culture Festival,"Phoenix Marketcity, Chennai","Feb 13, 2025",Free
Health Meetup,"Koregaon Park, Pune","Feb 16, 2025",Free
Bollywood Meetup,"Nehru Centre, Mumbai","Jan 05–07, 2025",Free
Jazz Expo,"Bandra Fort, Mumbai","Feb 22–24, 2025",Free
Jazz Carnival,"HITEX Exhibition Center, Hyderabad","Mar 17, 2025",?6265
Startup Night,"Anjuna Beach, Goa","Jan 07–09, 2025",Free
Art Show,"Indiranagar Club, Bangalore","Jan 17, 2025",?4415
Jazz Show,"Music Academy, Chennai","Feb 06–07, 2025",Free
Food Carnival,"Music Academy, Chennai","Feb 27–28, 2025",?8176
Culture Conference,"Fergusson College Grounds, Pune","Jan 29, 2025",?2974
Art Meetup,"Jio World Centre, Mumbai","Mar 20, 2025",?5829
Bollywood Conference,"Gateway of India, Mumbai","Jan 07–09, 2025",Free
Startup Meetup,"Koregaon Park, Pune","Mar 19–21, 2025",?6558
Culture Show,"Pragati Maidan, Delhi","Feb 27, 2025",?9154
Music Night,"Tito’s Lane, Goa","Mar 09–11, 2025",?535
Tech Conference,"Anjuna Beach, Goa","Mar 14–15, 2025",Free
Gaming Conference,"Anjuna Beach, Goa","Jan 28–30, 2025",Free
Art Expo,"Elliot’s Beach, Chennai","Jan 25–27, 2025",Free
Startup Expo,"Anjuna Beach, Goa","Jan 30, 2025",?4496
Tech Show,"Balewadi Stadium, Pune","Mar 22, 2025",Free
Health Night,"Bandra Fort, Mumbai","Mar 17–19, 2025",?5547
Art Expo,"Tito’s Lane, Goa","Jan 24–26, 2025",?4745
Gaming Conference,"Rabindra Sadan, Kolkata","Mar 16–17, 2025",Free
Startup Summit,"Elliot’s Beach, Chennai","Jan 22–24, 2025",Free
Art Carnival,"Music Academy, Chennai","Jan 05–07, 2025",?3488
Art Meetup,"Nicco Park, Kolkata","Feb 25, 2025",?8608
Gaming Meetup,"White Orchid Convention Center, Bangalore","Feb 01–02, 2025",Free
Tech Expo,"Jawaharlal Nehru Stadium, Delhi","Jan 22–24, 2025",Free
Music Show,"Balewadi Stadium, Pune","Mar 08–10, 2025",Free
